Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Bestseller sort (product.metafields.custom.bestseller_sort),Best for (product.metafields.custom.best_for),Creator note creator (slug) (product.metafields.custom.creator_note_creator),Creator note quote (product.metafields.custom.creator_note_quote),How it wears (product.metafields.custom.how_it_wears),How to use (product.metafields.custom.how_to_use),Made the edit (product.metafields.custom.made_the_edit),Related products (product.metafields.custom.related_products),Short description (product.metafields.custom.short_description),Why it made the edit (product.metafields.custom.why_it_made_the_edit),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
cosme-chef-baekdango-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/cosme-chef-baekdango-ampoule-03.webp?v=1779882695,3,"",,,,,,,,,,,,,,,,,,,,,,,
biodance-skin-glow-essence-cream,Skin Glow Essence Cream,"<p>A lightweight essence cream for a dewy, glowing complexion. 50 ml.</p>",Biodance,,Prep & Hydrate,"prep-and-hydrate, skincare",true,Option,50 ml,,,,,,,,biodance-skin-glow-essence-cream-01,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/biodance-skin-glow-essence-cream-01.webp?v=1779882690,1,"",false,,,,"Daily moisture
Barrier care
Glow finish under makeup",,,"An essence-light cream that absorbs quickly and leaves a soft, glowy finish rather than a heavy film.","After serum, pump a small amount and press evenly across the face morning and night.",,,"A lightweight essence cream for a dewy, glowing complexion. 50 ml.",,,,,lb,,,,,,active
biodance-skin-glow-essence-cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/biodance-skin-glow-essence-cream-02.webp?v=1779882690,2,"",,,,,,,,,,,,,,,,,,,,,,,
biodance-skin-glow-essence-cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/biodance-skin-glow-essence-cream-03.webp?v=1779882690,3,"",,,,,,,,,,,,,,,,,,,,,,,
athe-porexel-programming-ampoule-duo,Porexel Programming Ampoule Duo,<p>A two-step ampoule programme for pore refinement and hydration.</p>,a;t fox,,Masks & Treatments,"bestseller, made-the-edit, masks-and-treatments, skincare",true,Option,Duo set,,,,,,,,athe-porexel-programming-ampoule-duo-01,0.0,shopify,deny,manual,54.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/athe-porexel-programming-ampoule-01.webp?v=1779882685,1,"",false,,,'10,"Pore elasticity care
Short treatment cycles
Targeted ritual",,,,"Use one bottle as a 7-day programme. After cleansing and toning, press a few drops onto the face before serum and moisturiser.",TRUE,,A two-step ampoule programme for pore refinement and hydration.,,,,,lb,,,,,,active
athe-porexel-programming-ampoule-duo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/athe-porexel-programming-ampoule-02.webp?v=1779882685,2,"",,,,,,,,,,,,,,,,,,,,,,,
athe-porexel-programming-ampoule-duo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/athe-porexel-programming-ampoule-03.webp?v=1779882685,3,"",,,,,,,,,,,,,,,,,,,,,,,
anua-rice-70-glow-milky-set,Rice 70 Glow Milky Set,"<p>A rice-extract hydration set with toner, essence, and cream.</p>",Anua,,Prep & Hydrate,"prep-and-hydrate, skincare",true,Option,Full set,,,,,,,,anua-rice-70-glow-milky-set-01,0.0,shopify,deny,manual,42.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/anua-rice-70-glow-milky-set-01.webp?v=1779882681,1,"",false,,,,,,,,,,,"A rice-extract hydration set with toner, essence, and cream.",,,,,lb,,,,,,active
anua-rice-70-glow-milky-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/anua-rice-70-glow-milky-set-02.webp?v=1779882681,2,"",,,,,,,,,,,,,,,,,,,,,,,
anua-rice-70-glow-milky-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/anua-rice-70-glow-milky-set-03.webp?v=1779882681,3,"",,,,,,,,,,,,,,,,,,,,,,,
ahc-colla-juvenation-lift-4-treatment-essence,Colla-Juvenation Lift 4 Treatment Essence,<p>A lifting essence with collagen and peptides. 150 ml.</p>,AHC,,Masks & Treatments,"made-the-edit, masks-and-treatments, skincare",true,Option,150 ml,,,,,,,,ahc-colla-juvenation-lift-4-treatment-essence-01,0.0,shopify,deny,manual,58.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/ahc-colla-juvenation-lift4-essence-01.webp?v=1779882676,1,"",false,,,,"First step after cleansing
Layering under serum
Daily hydration",,,,"After cleansing, press 2 to 3 drops into the skin morning and night before serum and moisturiser.",TRUE,,A lifting essence with collagen and peptides. 150 ml.,,,,,lb,,,,,,active
ahc-colla-juvenation-lift-4-treatment-essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/ahc-colla-juvenation-lift4-essence-02.webp?v=1779882676,2,"",,,,,,,,,,,,,,,,,,,,,,,
the-whoo-essential-lip-glow-balm,Essential Lip Glow Balm,<p>A heritage lip balm with a subtle glow and gilded case.</p>,The Whoo,,Lip,"lips, makeup",true,Option,01 Nude,,,,,,,,the-whoo-essential-lip-glow-balm-01,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/the-whoo-essential-lip-glow-balm-01.webp?v=1779882672,1,"",false,,,,"Daily lip care
Soft tinted finish
Dressing up bare skin",,,,Glide directly onto bare lips for a sheer wash of colour and comfort. Reapply through the day as needed.,,,A heritage lip balm with a subtle glow and gilded case.,,,,,lb,,,,,,active
the-whoo-essential-lip-glow-balm,,,,,,,,,02 Pink,,,,,,,,the-whoo-essential-lip-glow-balm-02,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/the-whoo-essential-lip-glow-balm-02.webp?v=1779882672,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
the-whoo-essential-lip-glow-balm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/the-whoo-essential-lip-glow-balm-03.webp?v=1779882672,3,"",,,,,,,,,,,,,,,,,,,,,,,
surratt-torche-lumiere,Torche Lumière,"<p>A light-catching highlighter pen for sculpted, lit-from-within glow.</p>",SURRATT,,Face,"face, makeup",true,Option,One size,,,,,,,,surratt-torche-lumiere-01,0.0,shopify,deny,manual,48.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/surratt-torche-lumiere-01.webp?v=1779882667,1,"",false,,,,"Cheekbones
Brow bone
Layering over base",,,"A cushioned cream that melts onto skin and leaves a soft, reflective glow without glitter.",Sweep directly onto the high points of the face and tap out the edges with a fingertip.,,,"A light-catching highlighter pen for sculpted, lit-from-within glow.",,,,,lb,,,,,,active
surratt-torche-lumiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/surratt-torche-lumiere-02.webp?v=1779882667,2,"",,,,,,,,,,,,,,,,,,,,,,,
sum37-skin-stay-moisture-lipcerin,Skin Stay Moisture Lipcerin,"<p>A moisture-rich lip serum with a glossy, hydrating finish.</p>",su:m37°,,Lip,"lips, makeup",true,Option,01 Pure Nude,,,,,,,,sum37-skin-stay-moisture-lipcerin-01,0.0,shopify,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/sum37-skin-stay-moisture-lipcerin-01.webp?v=1779882664,1,"",false,,,,"Dry, tight lips
Overnight care
Layering under colour",,,,"Press a small amount onto clean lips morning and night, or use as a hydrating base before lip colour.",,,"A moisture-rich lip serum with a glossy, hydrating finish.",,,,,lb,,,,,,active
sum37-skin-stay-moisture-lipcerin,,,,,,,,,02 Coral Touch,,,,,,,,sum37-skin-stay-moisture-lipcerin-02,0.0,shopify,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/sum37-skin-stay-moisture-lipcerin-02.webp?v=1779882664,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
